TABLE AGENCIES,,,,,,,
agency_id,agency_name,agency_type,distribution_channel,,,,
179,5,10,No,22,Hong Kong,29,0.00
180,5,10,No,1,United States,20,0.00
181,5,10,No,49,India,24,0.00
182,5,10,No,28,Thailand,27,0.00
183,5,10,No,13,China,33,0.00
184,5,10,No,118,Myanmar,10,0.00
185,5,10,No,7,Singapore,18,0.00
186,5,10,No,7,Korea,58,0.00
187,5,10,No,52,Spain,46,0.00
188,5,10,No,59,Myanmar,16,0.00
189,5,10,No,38,Hong Kong,12,0.00
190,5,10,No,18,Thailand,29,0.00
191,5,10,No,73,United States,69,0.00
192,5,10,No,21,Indonesia,15,0.00
193,5,10,No,25,Malaysia,20,0.00
194,5,10,No,19,Korea,19,0.00
195,5,10,No,20,Malaysia,13,0.00
196,5,10,No,33,United Kingdom,74,0.00
197,5,10,No,31,Thailand,40,0.00
198,5,10,No,24,Thailand,10,0.00
199,5,10,No,1,United States,17,0.00
200,5,10,No,12,Malaysia,13,0.00
201,5,10,No,5,Malaysia,10,0.00
202,5,10,No,25,Czech Republic,80,0.00
203,5,10,No,12,Hong Kong,80,0.00
204,5,10,No,12,Thailand,34,0.00
205,5,10,No,94,Australia,80,0.00
206,5,10,No,13,Myanmar,10,0.00
207,5,10,No,46,Australia,80,0.00
208,5,10,No,29,Korea,22,0.00
209,5,10,No,57,Singapore,11,0.00
210,5,10,No,82,Germany,80,0.00
211,5,10,No,13,Sri Lanka,10,0.00
212,5,10,No,12,Cambodia,14,0.00
213,5,10,No,9,Thailand,13,0.00
214,5,10,No,6,Thailand,23,0.00
215,5,11,No,55,Australia,26,0.00
216,5,11,No,2,Malaysia,20,0.00
217,5,11,No,26,Malaysia,20,0.00
218,5,11,No,4,China,20,0.00
219,5,11,No,25,China,46,0.00
220,5,11,No,49,Singapore,20,0.00
221,7,3,No,4,India,62,24.80
222,8,3,No,14,Brunei Darussalam,15,6.00
223,9,12,No,54,Singapore,2,0.56
224,9,12,No,40,Singapore,4,1.09
225,9,12,No,11,Singapore,7,2.02
226,3,4,No,5,Hong Kong,22,7.70
227,3,4,No,5,Indonesia,22,7.70
228,3,4,No,6,Thailand,22,7.70
229,3,4,No,2,Vietnam,18,6.30
230,3,4,No,15,Cambodia,30,10.50
231,3,4,No,90,Malaysia,22,7.70
232,3,4,No,28,Hong Kong,35,12.25
233,3,4,No,21,Vietnam,22,7.70
234,3,4,No,130,Indonesia,33,11.55
235,3,4,No,34,China,22,7.70
236,3,3,No,49,Austria,67,23.45
237,3,3,No,33,Australia,92,32.20
238,6,7,No,19,Singapore,18,4.39
239,6,7,No,4,Singapore,18,4.39
240,6,7,No,9,Singapore,18,4.39
241,6,7,No,28,Singapore,18,4.39
242,6,7,No,18,Singapore,0,7.47
243,6,7,No,18,Singapore,38,9.59
244,6,7,No,55,Singapore,94,23.50
245,6,7,No,32,Singapore,45,11.21
246,6,8,No,13,Singapore,62,15.56
247,6,8,No,13,Singapore,82,20.44
248,6,8,No,12,Singapore,62,15.56
249,6,8,Yes,10,Singapore,44,10.89
250,6,8,No,10,Singapore,44,10.89
251,6,8,No,34,Singapore,109,27.25
252,6,9,No,388,Singapore,253,63.21
253,6,9,No,388,Singapore,261,65.16
254,6,9,No,369,Singapore,261,65.16
255,6,9,No,368,Singapore,253,63.21
256,2,2,No,114,United Kingdom,69,41.58
257,2,2,No,20,Italy,40,23.76
258,2,2,No,40,South Africa,129,77.22
259,2,2,No,3,Malaysia,30,17.82
260,2,2,No,85,New Zealand,109,65.34
261,2,2,No,5,Malaysia,0,29.70
262,2,2,No,17,United States,119,71.28
263,2,2,No,6,United States,30,17.82
264,2,2,No,133,Norway,0,65.34
265,2,2,No,5,United Kingdom,40,23.76
266,2,2,No,5,Thailand,30,17.82
267,2,2,No,18,Australia,139,83.16
268,2,2,No,5,Australia,30,17.82
269,2,2,No,45,Thailand,20,11.88
270,2,2,No,8,South Africa,50,29.70
271,2,2,No,103,United States,158,95.04
272,2,2,No,12,Japan,30,17.82
273,5,6,No,110,Singapore,20,0.00
274,5,6,No,147,United Kingdom,64,0.00
275,5,6,No,32,Tanzania,112,0.00
276,5,6,No,26,Malaysia,20,0.00
277,5,6,No,37,United States,112,0.00
278,5,6,No,32,United States,50,0.00
279,5,6,No,7,Hong Kong,23,0.00
280,5,6,No,39,Singapore,38,0.00
281,5,6,No,27,Indonesia,20,0.00
282,5,6,No,22,Indonesia,20,0.00
283,5,6,No,306,Japan,31,0.00
284,5,6,No,11,Australia,74,0.00
285,5,6,No,12,Lao,37,0.00
286,5,6,No,21,China,52,0.00
287,5,6,No,56,Italy,69,0.00
288,5,6,No,56,Italy,69,0.00
289,5,6,No,20,Thailand,20,0.00
290,5,6,No,41,Vietnam,26,0.00
291,5,6,No,15,Philippines,30,0.00
292,5,6,No,20,India,46,0.00
293,5,6,No,9,Thailand,20,0.00
294,5,6,No,14,Thailand,20,0.00
295,5,6,No,35,Singapore,56,0.00
296,5,6,No,2,Malaysia,29,0.00
297,5,6,No,8,Malaysia,20,0.00
298,5,6,No,9,Singapore,0,0.00
299,5,6,No,8,Malaysia,32,0.00
300,5,6,No,10,Vietnam,23,0.00
301,5,6,No,24,Vietnam,71,0.00
302,5,6,No,4,Singapore,20,0.00
303,5,6,No,3,Malaysia,20,0.00
304,5,6,No,4,China,37,0.00
305,5,6,No,3,Malaysia,20,0.00
306,5,6,No,17,Thailand,26,0.00
307,5,6,No,75,Australia,31,0.00
308,5,6,No,9,Singapore,30,0.00
309,5,6,No,47,Malaysia,37,0.00
310,5,6,No,28,Sri Lanka,39,0.00
311,5,6,No,83,Philippines,20,0.00
312,5,6,No,56,Australia,27,0.00
313,5,10,No,1,United States,24,0.00
314,5,10,Yes,73,Thailand,16,0.00
315,5,10,No,12,Malaysia,10,0.00
316,5,10,No,15,Singapore,19,0.00
317,5,10,No,12,Vietnam,37,0.00
318,5,10,No,27,Singapore,70,0.00
319,5,10,No,24,Malaysia,14,0.00
320,5,10,No,27,Malaysia,10,0.00
321,5,10,No,41,Korea,10,0.00
322,5,10,No,41,Korea,10,0.00
323,5,10,No,35,Myanmar,13,0.00
324,5,10,No,8,United States,42,0.00
325,5,10,No,34,China,33,0.00
326,5,10,No,27,Cambodia,17,0.00
327,5,10,No,54,Korea,39,0.00
328,5,10,No,11,Hong Kong,18,0.00
329,5,10,No,5,Hong Kong,29,0.00
330,5,10,No,40,Hong Kong,24,0.00
331,5,10,No,29,Taiwan,43,0.00
332,5,10,No,7,Singapore,10,0.00
333,5,10,No,28,Thailand,30,0.00
334,5,10,No,57,Sri Lanka,10,0.00
335,5,10,No,38,United States,18,0.00
336,5,10,No,53,New Zealand,59,0.00
337,5,10,No,40,Singapore,16,0.00
338,5,10,No,18,Myanmar,19,0.00
339,5,10,No,32,China,33,0.00
340,5,10,No,13,Hong Kong,21,0.00
341,5,10,No,25,India,20,0.00
342,5,10,No,15,China,32,0.00
343,5,10,No,11,China,24,0.00
344,5,10,No,13,China,16,0.00
345,5,10,No,36,United States,11,0.00
346,5,10,No,26,Malaysia,22,0.00
347,5,10,No,27,India,0,0.00
348,5,10,No,49,Australia,18,0.00
349,5,10,No,33,Indonesia,10,0.00
350,5,10,No,27,Indonesia,10,0.00
351,5,10,No,81,Nepal,45,0.00
352,5,10,No,27,Hong Kong,30,0.00
353,5,10,No,25,Australia,45,0.00
354,5,10,No,82,Philippines,14,0.00
355,5,10,No,70,Taiwan,21,0.00
356,5,10,No,19,Malaysia,10,0.00
357,5,10,No,19,Malaysia,10,0.00
358,5,11,No,14,China,20,0.00
359,5,11,No,6,Myanmar,20,0.00
360,5,11,No,9,Myanmar,20,0.00
361,5,11,No,52,Australia,28,0.00
362,5,11,No,17,Japan,39,0.00
363,5,11,No,25,China,27,0.00
364,5,11,No,5,Singapore,51,0.00
365,5,11,No,49,Philippines,20,0.00
366,5,11,No,5,Vietnam,20,0.00
367,5,11,No,17,Malaysia,37,0.00
368,7,3,No,16,India,50,20.00
369,8,3,No,75,Brunei Darussalam,31,12.40
370,8,3,No,3,Brunei Darussalam,15,6.00
371,9,12,No,39,Singapore,1,0.41
372,9,12,No,53,Singapore,74,20.65
373,9,12,No,40,Singapore,7,2.02
374,9,12,No,13,Singapore,5,1.43
375,3,4,No,4,Myanmar,18,6.30
376,3,4,No,54,Hong Kong,26,9.10
377,3,4,No,3,Malaysia,18,6.30
378,3,4,No,5,Malaysia,18,6.30
379,3,4,No,104,Japan,35,12.25
380,3,4,No,10,Thailand,22,7.70
381,3,4,No,24,India,35,12.25
382,3,4,No,10,Thailand,22,7.70
383,3,4,No,48,India,50,17.50
384,3,4,No,6,Thailand,18,6.30
385,3,4,No,7,Taiwan,26,9.10
386,3,4,No,20,Sri Lanka,26,9.10
387,3,4,No,6,China,26,9.10
388,3,4,No,15,Thailand,22,7.70
389,3,4,No,4,Thailand,18,6.30
390,3,4,No,48,Japan,26,9.10
391,3,4,No,14,Thailand,22,7.70
392,3,4,No,14,Myanmar,33,11.55
393,3,4,No,42,China,63,22.05
394,3,4,No,13,Thailand,22,7.70
395,3,3,No,131,United Kingdom,125,43.75
396,3,3,No,36,United Kingdom,87,30.45
397,3,3,No,202,France,149,52.15
398,3,3,No,42,China,92,32.20
399,3,3,No,11,Germany,87,30.45
400,3,3,No,10,China,45,15.75
401,11,1,No,92,Malaysia,29,9.57
402,11,1,No,92,Malaysia,29,9.57
403,12,1,No,5,Malaysia,29,9.57
404,12,1,No,5,Malaysia,29,9.57
405,12,1,No,5,Malaysia,29,9.57
406,1,1,No,36,Thailand,29,9.57
407,10,13,No,2,Philippines,7,2.60
408,10,13,No,2,Thailand,9,3.32
409,6,7,No,10,Singapore,38,9.59
410,6,7,No,17,Singapore,38,9.59
411,6,7,No,32,Singapore,22,5.53
412,6,7,No,32,Singapore,38,9.59
413,6,7,No,4,Singapore,18,4.39
414,6,7,No,7,Singapore,17,4.31
415,6,7,No,179,Singapore,682,170.50
416,6,7,No,33,Singapore,17,4.31
417,6,7,No,5,Singapore,18,4.39
418,6,7,No,31,Singapore,38,9.59
419,6,8,No,18,Singapore,71,17.75
420,6,8,Yes,11,Singapore,62,15.56
421,6,8,No,47,Singapore,71,17.71
422,6,8,No,61,Singapore,26,6.47
423,6,8,No,5,Singapore,26,6.47
424,6,14,No,26,Singapore,119,29.75
425,6,9,Yes,365,Singapore,188,46.96
426,6,9,No,374,Singapore,253,63.21
427,6,9,No,386,Singapore,253,63.21
428,6,15,No,369,Singapore,389,97.34
429,2,2,No,86,Malaysia,40,23.76
430,2,2,No,2,Malaysia,10,5.94
431,2,2,No,2,United States,20,11.88
432,2,2,No,17,Thailand,30,17.82
433,2,2,No,60,Malaysia,20,11.88
434,2,2,No,28,Thailand,50,29.70
435,2,2,No,8,Malaysia,20,11.88
436,2,2,No,4,United Arab Emirates,20,11.88
437,2,2,No,32,Malaysia,0,89.10
438,2,2,No,26,Australia,40,23.76
439,2,2,No,100,Australia,0,106.92
440,2,2,Yes,105,United Kingdom,40,23.76
441,2,2,No,244,Thailand,50,29.70
442,2,2,No,34,Australia,59,35.64
443,5,6,No,56,Thailand,31,0.00
444,5,6,No,52,Philippines,34,0.00
445,5,6,No,53,Philippines,20,0.00
446,5,6,No,39,Malaysia,20,0.00
447,5,6,No,99,Thailand,33,0.00
448,5,6,No,45,Taiwan,25,0.00
449,5,6,No,9,Indonesia,20,0.00
450,5,6,No,21,Malaysia,20,0.00
451,5,6,No,52,Philippines,34,0.00
452,5,6,No,52,Philippines,34,0.00
453,5,6,No,76,China,38,0.00
454,5,6,No,25,Philippines,70,0.00
455,5,6,No,46,Thailand,24,0.00
456,5,6,No,202,Spain,76,0.00
457,5,6,No,103,Korea,56,0.00
458,5,6,No,11,Singapore,26,0.00
459,5,6,No,33,Hong Kong,21,0.00
460,5,6,No,108,Myanmar,20,0.00
461,5,6,No,19,Malaysia,20,0.00
462,5,6,No,279,United Kingdom,107,0.00
463,5,6,Yes,9,China,87,0.00
464,5,6,No,13,Indonesia,20,0.00
465,5,6,No,11,Thailand,20,0.00
466,5,6,No,8,Singapore,30,0.00
467,5,6,No,16,China,46,0.00
468,5,6,No,6,Indonesia,26,0.00
469,5,6,No,10,Cambodia,103,0.00
470,5,6,No,14,Malaysia,20,0.00
471,5,6,No,45,China,0,0.00
472,5,6,No,277,Czech Republic,21,0.00
473,5,6,No,45,China,33,0.00
474,5,6,No,107,Thailand,20,0.00
475,5,6,No,10,China,68,0.00
476,5,6,No,61,Indonesia,25,0.00
477,5,6,No,83,China,28,0.00
478,5,6,No,61,Indonesia,25,0.00
479,5,6,No,47,Thailand,68,0.00
480,5,6,No,34,Australia,62,0.00
481,5,6,No,25,United States,98,0.00
482,5,6,No,7,Netherlands,112,0.00
483,5,6,No,7,Malaysia,20,0.00
484,5,10,No,18,China,31,0.00
485,5,10,No,38,United States,10,0.00
486,5,10,No,12,Hong Kong,21,0.00
487,5,10,No,6,Singapore,13,0.00
488,5,10,No,14,Thailand,27,0.00
489,5,10,No,41,Indonesia,12,0.00
490,5,10,No,56,Taiwan,21,0.00
491,5,10,No,7,Macao,19,0.00
492,5,10,No,87,United Kingdom,80,0.00
493,5,10,No,22,Malaysia,11,0.00
494,5,10,No,24,Singapore,60,0.00
495,5,10,No,59,Myanmar,16,0.00
496,5,10,No,12,Malaysia,20,0.00
497,5,10,No,76,India,22,0.00
498,5,10,No,12,Vietnam,15,0.00
499,5,10,No,45,Thailand,30,0.00
500,5,10,No,83,Philippines,23,0.00
501,5,10,No,10,India,45,0.00
502,5,10,No,28,India,25,0.00
503,5,10,No,276,Croatia,80,0.00
504,5,10,No,27,China,46,0.00
505,5,10,No,28,India,35,0.00
506,5,10,No,19,Finland,80,0.00
507,5,10,No,123,Malaysia,26,0.00
508,5,10,No,11,Indonesia,32,0.00
509,5,10,No,11,Thailand,15,0.00
510,5,10,No,12,Singapore,10,0.00
511,5,10,No,4,Thailand,10,0.00
512,5,10,No,7,Thailand,10,0.00
513,5,10,No,12,Australia,33,0.00
514,5,10,No,54,Canada,10,0.00
515,5,10,No,2,Singapore,14,0.00
516,5,10,No,3,Korea,49,0.00
517,5,10,No,47,China,31,0.00
518,5,10,No,9,Hong Kong,15,0.00
519,5,10,No,277,Canada,80,0.00
520,5,10,No,15,Singapore,80,0.00
521,5,10,No,26,Philippines,19,0.00
522,5,10,No,39,Indonesia,27,0.00
523,5,10,No,40,Japan,43,0.00
524,5,10,No,4,Vietnam,10,0.00
525,5,10,No,39,Japan,80,0.00
526,5,10,No,5,Hong Kong,10,0.00
527,5,10,No,81,Japan,36,0.00
528,5,10,No,6,Singapore,16,0.00
529,5,10,No,8,Thailand,10,0.00
530,5,10,No,5,Malaysia,19,0.00
531,5,10,No,122,Philippines,13,0.00
532,5,10,No,31,Malaysia,14,0.00
533,5,10,No,148,Japan,40,0.00
534,5,10,No,7,Vietnam,10,0.00
535,5,10,No,123,Singapore,49,0.00
536,5,10,No,28,Italy,72,0.00
537,5,10,No,32,Korea,55,0.00
538,5,10,No,64,Japan,38,0.00
539,5,10,No,18,Vietnam,0,0.00
540,5,10,No,17,Malaysia,40,0.00
541,5,10,No,33,China,32,0.00
542,5,10,No,7,Cambodia,41,0.00
543,5,10,No,22,Sri Lanka,30,0.00
544,5,10,No,17,Thailand,27,0.00
545,5,10,No,41,Canada,40,0.00
546,5,10,No,278,Canada,62,0.00
547,5,10,No,9,Hong Kong,39,0.00
548,5,10,No,25,Singapore,16,0.00
549,5,10,No,26,India,30,0.00
550,5,10,No,18,Taiwan,17,0.00
551,5,11,No,204,Singapore,32,0.00
552,5,11,No,112,Korea,23,0.00
553,5,11,No,3,Korea,20,0.00
554,5,11,No,2,Tunisia,56,0.00
555,5,11,No,10,Singapore,20,0.00
556,5,11,No,7,Singapore,20,0.00
557,5,11,No,8,Hong Kong,55,0.00
558,5,11,No,27,Singapore,20,0.00
559,5,11,No,54,Russian Federation,20,0.00
560,5,11,No,12,Australia,47,0.00
561,5,11,No,13,Vietnam,20,0.00
562,5,11,No,31,United States,20,0.00
563,7,3,No,10,India,31,12.40
564,7,3,No,18,India,0,28.80
565,7,3,No,7,India,62,24.80
566,7,3,No,12,India,60,24.00
567,7,3,No,15,India,50,20.00
568,4,3,No,40,Indonesia,28,10.64
569,4,3,No,38,Netherlands,75,28.50
570,4,3,No,111,Germany,95,36.10
571,8,3,No,4,Brunei Darussalam,15,6.00
572,8,3,No,5,Brunei Darussalam,15,6.00
573,8,3,No,3,Brunei Darussalam,15,6.00
574,8,3,No,15,Brunei Darussalam,15,6.00
575,9,12,No,78,Singapore,8,2.38
576,3,4,No,7,Indonesia,30,10.50
577,3,4,No,97,Japan,44,15.40
578,3,4,No,13,Myanmar,33,11.55
579,3,4,No,13,Myanmar,30,10.50
580,3,4,No,8,Macao,26,9.10
581,3,4,No,8,Indonesia,18,6.30
582,3,4,No,7,Thailand,22,7.70
583,3,4,No,10,China,26,9.10
584,3,4,No,118,Thailand,22,7.70
585,3,4,No,39,Hong Kong,26,9.10
586,3,4,No,12,Philippines,18,6.30
587,3,4,No,12,Hong Kong,26,9.10
588,3,4,No,73,China,26,9.10
589,3,4,No,22,Thailand,30,10.50
590,3,3,No,142,Australia,58,20.30
591,3,3,No,4,China,36,12.60
592,3,3,No,18,United States,121,42.35
593,3,3,No,15,Hong Kong,69,24.15
594,3,3,No,15,Hong Kong,69,24.15
595,10,13,No,351,Philippines,29,10.22
596,6,7,No,26,Singapore,24,5.95
597,6,7,No,30,Singapore,35,8.81
598,6,7,No,100,Singapore,202,50.50
599,6,7,No,7,Singapore,23,5.85
600,6,7,No,26,Singapore,71,17.75
601,6,7,No,8,Singapore,18,4.39
602,6,8,Yes,16,Singapore,74,18.56
603,6,8,No,12,Singapore,24,6.01
604,6,8,No,68,Singapore,24,6.01
605,6,8,No,9,Singapore,62,15.56
606,6,8,No,23,Singapore,108,27.00
607,6,8,No,26,Singapore,127,31.75
608,6,15,No,368,Singapore,389,97.34
609,2,2,No,163,Greece,20,11.88
610,2,2,No,5,Malaysia,30,17.82
611,2,2,No,7,United States,10,5.94
612,2,2,No,12,Thailand,40,23.76
613,2,2,No,8,United States,20,11.88
614,2,2,No,197,France,218,130.68
615,2,2,No,53,United States,129,77.22
616,2,2,No,31,United Kingdom,99,59.40
617,2,2,No,13,United States,50,29.70
618,2,2,No,95,Thailand,30,17.82
619,2,2,No,8,Malaysia,30,17.82
